기준일자,예측일자,카드소비실측치,예측 평균치(PROPHET),예측 평균치(ARIMA),예측치(ARIMA)상한액(90% 신뢰구간),예측치(ARIMA)하한액(90% 신뢰구간),예측치(PROPHET)상한액(90% 신뢰구간),예측치(PROPHET)하한액(90% 신뢰구간),예측치(ARIMA)상한액(80% 신뢰구간),예측치(ARIMA)하한액(90% 신뢰구간),예측치(PROPHET)상한액(80% 신뢰구간),예측치(PROPHET)하한액(80% 신뢰구간)
20221104,20221104,65222677638,,,,,,,,,,
20221105,20221105,96303124456,,,,,,,,,,
20221106,20221106,83921353453,,,,,,,,,,
20221107,20221107,49605360518,,,,,,,,,,
20221108,20221108,53128542127,,,,,,,,,,
20221109,20221109,53918904665,,,,,,,,,,
20221110,20221110,56243374823,,,,,,,,,,
20221111,20221111,65237134382,,,,,,,,,,
20221112,20221112,90675147603,,,,,,,,,,
20221113,20221113,76722853673,,,,,,,,,,
20221114,20221114,50338313630,,,,,,,,,,
20221115,20221115,52245971308,,,,,,,,,,
20221116,20221116,56983235548,,,,,,,,,,
20221117,20221117,55857646058,,,,,,,,,,
20221118,20221118,67529401356,,,,,,,,,,
20221119,20221119,94473929330,,,,,,,,,,
20221120,20221120,81552610684,,,,,,,,,,
20221121,20221121,49562857350,,,,,,,,,,
20221122,20221122,49391652181,,,,,,,,,,
20221123,20221123,51344447694,,,,,,,,,,
20221124,20221124,51742345493,,,,,,,,,,
20221125,20221125,62243098714,,,,,,,,,,
20221126,20221126,90266616957,,,,,,,,,,
20221127,20221127,73804890809,,,,,,,,,,
20221128,20221128,49271930007,,,,,,,,,,
20221129,20221129,49696341793,,,,,,,,,,
20221130,20221130,53409818517,,,,,,,,,,
20221202,20221202,61837835954,,,,,,,,,,
20221203,20221203,86260102175,,,,,,,,,,
20221204,20221204,75672492695,,,,,,,,,,
20221204,20221205,,48233679513,83116893824,100743667517,65490120131,59643291792,39220211603,96850407281,69383380366,57283851185,40923174144
20221204,20221206,,49477148264,55066214575,73013458266,37118970883,61154694304,40257749026,69049415191,41083013958,58148536882,41873771561
20221204,20221207,,51681092104,55551693467,73872913854,37230473079,64053626310,42010853295,69826269809,41277117124,61043572458,44085295279
20221204,20221208,,51849506884,57763116486,76470195877,39056037094,64131858559,42535368580,72338326394,43187906577,60964698991,43878749857
20221204,20221209,,59337043401,60300756310,79382892875,41218619744,73244488998,48203524694,75168183775,45433328844,69756165803,50482047090
20221204,20221210,,82644584392,73120057643,92563551562,53676563723,103080666313,66491732166,88269028751,57971086535,97384894854,70676187344
20221204,20221211,,69477126707,98244720593,118912636217,77576804968,86468551063,55739276516,114347672972,82141768214,81653310573,58878446661
20221204,20221212,,48054394038,83297707190,104686149655,61909264724,59251634252,39109704110,99962042227,66633372153,56777450577,40934530724
20221204,20221213,,49424082232,55462070606,77316430006,33607711206,61100619482,40651415532,72489414586,38434726626,58123422387,42163065432
20221204,20221214,,51752023200,56415569931,78734037157,34097102706,64281195647,42170383525,73804513327,39026626536,61158592161,44146687697
20221204,20221215,,52000866677,59152365628,81931893658,36372837597,63894215482,42523567601,76900534420,41404196835,60894742855,44411966934
20221204,20221216,,59638950680,62119187430,85348951500,38889423360,74176632855,48411931913,80218147741,44020227120,69987937505,51094786579
20221204,20221217,,83465314505,77251947543,100921052763,53582842324,103958723843,67651137775,95693210858,58810684228,98970584658,71022783129
20221204,20221218,,70125201198,100378136774,125791129926,74965143623,86581502664,56630229399,120178112058,80578161491,82585165948,59370879778
20221204,20221219,,48287826453,85411739404,111729962254,59093516555,60084395340,39409426579,105917004519,64906474290,57153908611,41148011178
20221204,20221220,,49639908560,57243450784,84130357072,30356544496,60738913817,40355276531,78191793106,36295108463,59095659686,42332858371
20221204,20221221,,51940458557,57769792330,85236505515,30303079146,63758359319,42421326304,79169878457,36369706204,61550327802,44059685023
20221204,20221222,,52109091416,60210816542,88254359910,32167273173,64372735167,42420176109,82060327233,38361305851,61679312436,44281425227
20221204,20221223,,59682396874,62950347231,91556925888,34343768575,73367683586,47941715808,85238534497,40662159966,69774050161,50727583408
20221204,20221224,,83452886971,76632367871,105789117189,47475618554,103535791803,67122038904,99349208520,53915527222,98258911411,70412985191
20221204,20221225,,69871470072,101016781884,131657254613,70376309154,86879474007,56638067527,124889633031,77143930736,82385949842,58871929457
20221204,20221226,,47982644352,86033554674,117601382072,54465727275,60132712081,38787336376,110628933837,61438175510,56450039013,40543507523
20221204,20221227,,49156889342,58044160537,90268400676,25819920397,61236034900,39387139215,83150969266,32937351808,58260395055,41906475805
20221204,20221228,,51278706667,58868790035,91750778721,25986801349,63565855333,41775961795,84488069093,33249510977,60270128633,43595977533
20221204,20221229,,51303858252,61502097351,95036504799,27967689903,63833851079,41474286108,87629694153,35374500548,60522392450,43509356055
20221204,20221230,,58571968869,64361512804,98534229676,30188795933,73126356133,46972316069,90986434371,37736591238,69078999857,49327999894
20221204,20221231,,81371092855,78968724783,113766129192,44171320375,101489517267,65550399132,106080357919,51857091647,96439954457,68581751097
20221204,20230101,,67936838154,102552185005,139016912571,66087457439,84927135066,54186187319,130962876348,74141493662,80818959753,57523464468
20221204,20230102,,46871191533,87599490644,125090028010,50108953278,58579068560,37333154885,116809419155,58389562133,55053255223,39314569043
20221204,20230103,,47858481497,59525526677,97752695688,21298357666,59924419723,38888135302,89309385550,29741667804,56718196096,40371445735
20221204,20230104,,49819182239,60135601322,99105370244,21165832400,62421943543,40080647173,90498040600,29773162043,59060947699,41897280277
20221204,20230105,,49814202308,62642480836,102349040860,22935920811,62028197340,40308221419,93578974715,31705986957,59208821385,41723463402
20221204,20230106,,56773719985,65440236289,105868385947,25012086632,70966112517,45399355081,96938940877,33941531702,67482696613,47616682613
20221204,20230107,,78273587159,79449438297,120584815962,38314060632,98185587875,62183019345,111499164049,47399712545,93487225671,65861935051
20221204,20230108,,65433163106,103548614955,146284127273,60813102636,82329212190,52162939904,136845050467,70252179443,77461772370,55257211282
20221204,20230109,,45675417740,88562579383,132365764004,44759394762,58264551393,36715522765,122690868312,54434290454,54173584160,38207287340
20221204,20230110,,46603036922,60516660208,105128150124,15905170293,58630022926,37025884465,95274722449,25758597967,55274254554,39175311504
20221204,20230111,,48555078265,61285658491,106707562940,15863754041,60423567065,38701846769,96675137411,25896179571,57903558739,40694245964
20221204,20230112,,48673104880,63877293308,110102863660,17651722956,60850545474,38455475482,99892930859,27861655757,57848397211,40930158660
20221204,20230113,,55541170887,66705613031,113719625270,19691600792,69910714270,44311846966,103335547756,30075678306,65903672855,46103791864
20221204,20230114,,76305598446,81107305124,128895124552,33319485696,97534634758,59894881835,118340134719,43874475528,91732843429,63787196174
20221204,20230115,,64098968851,104869949082,154333558601,55406339562,80350424193,50632121034,143408433709,66331464454,75950491558,53438610348
20221204,20230116,,45238039754,89915771272,140513012812,39318529733,57988140929,35822882870,129337500382,50494042163,54094836027,37671598881
20221204,20230117,,46234590748,61874577498,113346446663,10402708334,58577658189,36314240783,101977753507,21771401490,55512960072,38799164381
20221204,20230118,,48315514445,62522603135,114872658302,10172547969,61620383971,38426133042,103309998473,21735207798,58073895462,40185713546
20221204,20230119,,48606061129,65055742992,118276970933,11834515051,62243105044,38395080060,106521893457,23589592527,58329183267,40278103878
20221204,20230120,,55626759452,67869633296,121946478441,13792788151,70931949124,43595475865,110002419107,25736847484,66920891377,45814139479
20221204,20230121,,76621555289,82009196300,136926844476,27091548123,97749514962,59614513015,124797075320,39221317279,91841486723,63408086558
20221204,20230122,,64675331798,105994945731,162582278647,49407612815,83155310309,50279848422,150083722933,61906168529,77540993401,53861236519
20221204,20230123,,45780530414,91011761966,148777434521,33246089412,58899443039,35717077843,136018616609,46004907323,55097452552,37631012269
20221204,20230124,,46889613200,62947764219,121649187242,4246341195,60601395347,36352682955,108683688281,17211840157,56520445833,38792513881
20221204,20230125,,49130913313,63690199101,123329413636,4050984567,63226683648,38271569911,110156782816,17223615387,58905160177,40128347623
20221204,20230126,,49523214351,66265329426,126834907215,5695751637,64138527397,38444227162,113456785229,19073873622,60134596436,41212464584
20221204,20230127,,56793793831,69085734084,130570249441,7601218727,74444145282,44383513241,116990043392,21181424776,68613999694,46551081245
20221204,20230128,,78619747070,83403849773,145788455707,21019243839,101511438700,60948799707,132009444879,34798254667,95552094444,64858015786
20221204,20230129,,66459143945,107238907741,171334601960,43143213523,85932085174,51059197405,157177659692,57300155791,80333423490,54518873295
20221204,20230130,,46834312427,92281730626,157607891370,26955569881,61775854266,36209101823,143179173536,41384287715,57172920007,38407402286
20221204,20230131,,47979997246,64249686869,130568981498,-2069607760,63257592883,36428687899,115920908226,12578465512,58487866062,39077637223
20221204,20230201,,50279257559,64916771872,132231571873,-2398028128,66226007008,38331346091,117363619368,12469924377,61179874956,40963860053
20221204,20230202,,50631469779,67460272490,135763059882,-842514901,67456739874,38816334674,120676888655,14243656325,61626750962,41019313555
20221204,20230203,,58023766372,70277616429,139552949916,1002282941,76467324500,43980997480,124251970517,16303262341,70365288572,47182987956
20221204,20230204,,80458643269,84471401134,154704483910,14238318357,106124914543,60901916248,139191964539,29750837729,97873414658,65835913362
20221204,20230205,,67863036110,108410475390,180368827780,36452123000,89577969408,51606176222,164475244709,52345706070,83355023102,55387631826
20221204,20230206,,47547591980,93429989730,166661909450,20198070011,63702894081,35367801171,150487031054,36372948406,58255096906,38230821806
20221204,20230207,,48605923360,65362149046,139641084178,-8916786087,65976883660,36735037271,123234949425,7489348666,59329536513,39079406598
20221204,20230208,,50816925903,66090584583,141418287701,-9237118535,69205445785,38052224364,124780509496,7400659669,62055741445,40720330693
20221204,20230209,,51036327705,68659204625,145027976732,-7709567483,69753664150,38406797599,128160255569,9158153680,62211225324,41228821343
20221204,20230210,,58333591710,71478517381,148873114663,-5916079901,79628491373,43802720640,131778817472,11178217290,71725346546,47267799443
20221204,20230211,,80670824102,85760985494,164166699017,7355271970,109061783337,60230187663,146849074590,24672896397,99043766362,64905557830
20221204,20230212,,67841247447,109626460062,189788022375,29464897748,92721245291,50607378137,172082580166,47170339957,83171475712,54588874767
20221204,20230213,,47440502056,94666999945,176147290944,13186708946,65887896838,34752365168,158150578532,31183421358,58666839932,37796331760
20221204,20230214,,48389903247,66635741476,149214250439,-15942767487,66527055849,35755894425,130974972462,2296510490,59954771325,38494288564
20221204,20230215,,50482804208,67313333953,150991786710,-16365118804,69944444333,36509852393,132509561979,2117105927,62317189994,40437474184
20221204,20230216,,50619759537,69860943848,154631646013,-14909758316,70736888385,37032059158,135908174004,3813713693,63156902786,39956149414
20221204,20230217,,57753769702,72678187994,158526013369,-13169637381,80051402505,42489250497,139564635034,5791740954,71618918603,45955616426
20221204,20230218,,79599545092,86895760081,173806142860,-14622699,109812008817,58172157518,154610075378,19181444784,98854849703,63156717120
20221204,20230219,,66909802194,110814760592,199502103128,22127418055,93078026936,48809842218,179913555043,41715966140,82748645684,53017980606
20221204,20230220,,46899928218,95836161643,185882852866,5789470419,66741834912,33846020443,165994062759,25678260527,58988874270,37214273511
20221204,20230221,,47846631534,67769214554,158962761130,-23424332022,67175036492,33961676455,138820662821,-3282233713,59844398593,37406399673
20221204,20230222,,49927853357,68489607966,160831463820,-23852247889,70394434532,35618525494,140435736178,-3456520247,62314238966,39017818134
20221204,20230223,,50108156270,71055607336,164538015242,-22426800570,70685394229,35468113692,143890371621,-1779156950,63236454063,39349611588
20221204,20230224,,57205006503,73875565364,168483621449,-20732490721,81663096426,40913459817,147587353697,163777031,71742967426,44615568399
20221204,20230225,,78792094739,88141895609,183861180071,-7577388853,112497290962,57255047400,162719473118,13564318100,99289747265,61670558201
20221204,20230226,,66394063705,112020812524,209544244036,14497381013,94993969155,46588981377,188004051569,36037573480,83301387891,51126629893
20221204,20230227,,46704655330,97059800416,195983574073,-1863973242,67866860614,32574978330,174134085278,19985515553,59014383540,35956176953
20221204,20230228,,47763542038,69026800548,169144084831,-31090483735,69999166927,32881533439,147030982993,-8977381896,61131635022,36992352362
20221204,20230301,,49950721560,69710655907,171022785388,-31601473573,72821012038,34471802778,148645775736,-9224463921,63965085241,38426880835
20221204,20230302,,50245959235,72259969750,174759237704,-30239298205,73849856197,34752947805,152120022439,-7600082939,64578001964,38215409992
20221204,20230303,,57471812154,75076373431,178748048296,-28595301434,83680794459,39904759616,155849881207,-5697134344,73600526643,43954345782
20221204,20230304,,79269824505,89305094022,194134934382,-15524746338,116487806920,54939603256,170980960997,7629227046,101810617778,61847069311
